section,group_or_category,priority,term_or_phrase,why_important,recommended_response_style,source
positive_language,Fair Treatment,,it will just give you the dates and the amounts just for your records,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,if we have to report on your credit file that will stay on there for six years. Alright which you'll make so you know further down the line if you if you wanted to apply for credit again,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,what payment did you want to make today,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I can see that we didn't receive a payment in June,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,is there a reason that you need to do that,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,last thing we want to do is to put you into something that isn't maintainable,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,So have you done anything with your other creditors,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,we can certainly look at what you're able to afford,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,what we can do is we can do a little bit of forward planning,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,what do you think that you could afford going forward,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,your disposable doesn't really support that,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,it's really important that you stick to the payment plan,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"As a gesture, I will remove the 15 pound charge","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,are you looking at making a payment today?,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Are you looking at making that payment at all today?,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,it does mean the instalments to go up slightly,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,This is all down to the daily interest that's charged on your account,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,are you currently behind in any of your priority bills?,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,what date you would like that payment going out on,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Would there be any reason why you would want that payment reduced?,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Once I've done that payment then I can see what the payments would be thereafter,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,you do have your daily interest that's charged at 0.8%,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Does that sound affordable?,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,So just to confirm the debt management company you're using is,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Any future payments that would have been set up are now cancelled,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,it wasn't reset up again because there was no further communication in order to reset the payments up,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,what amount are you looking at paying,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,is still an affordable amount on the amount that you are getting currently,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,is that payment still coming from card ending,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,just let us know and then we can look at increasing your monthly payments for you,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I'm really sorry that you had these issues,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"No, you're not under any pressure whatsoever","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,is it possible you can just tell me what the family emergencies were,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Please accept my condolences for that's not a nice thing,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I don't want you to enter into something that isn't sustainable,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,do you have a letter or anything confirming that amount,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Would there be an issue if we took you back to your original contractual payment...?,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"We will be calling you to discuss your situation, and we'll see where you are at that point","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,discuss with you if you're able to increase the payment or keep it the same,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,These are all questions that should have been asked and... we should have gotten you to do an income and expenditure,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I'm happy to hold on the line while you do all of this,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"Unfortunately, we don't have the facility to update your card details... this is how the payments are done because I can't take your long card number","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I'll give you a call in.......to see how things are going at that point... hopefully look at increasing your repayments,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"I have now reset up your schedule... if you land up missing next month's payment, no new schedule is going to be reset until we've seen a payment from you","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"Regarding that late fee, that was taken off the account...","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"What I can do, I can send you an email with alternative payment methods","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"You did get a late fee charge of £15, obviously because the payment wasn't made","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"That will take care of the payment today. So, we won't report it on your credit file and you won't receive a late payment fee","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,It's just provisional and it can still get rejected,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"you've reached 100% interest cap, so we don't charge any more interest","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"if you go back and read your terms and conditions, it will tell you in there about the interest","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,You're not incurring interest at this moment in time,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,That's all anyone can expect of you,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I know what it's like,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"Okay, so we can look at a longer term. Let me just remove the default fee that you've received","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Are you going to be okay with your priority bills?,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I'm conscious that things are a little bit difficult for you,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I don't want to put you in a payment plan that is asking you to fail basically,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Have you read the terms and conditions...?,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"So as long as you've done all of that, I am more than happy to","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I can resend you one if you want,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Just to make you aware...,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"Okay, no problem","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,No problem at all,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"Only because even if I did put your account on hold, you would land up meeting that max of the interest","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"Because we put in your account on hold, that now cancels your payments. So, we wouldn't even attempt a payment on your card now","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"Just to make you aware, no late payment will be charged, and the payment won't go down as a missed payment","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,the default now goes on hold as long as you stick to the payments,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Is there anything else that I can help with at the moment?,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,you've already hit the cap of your interest. Okay. So no further interest is going to be charged on your account,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"We'll get that sent to you now, okay?","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I can get that done,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I can hold while you do that or you can do that at your own convenience,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,We'll put this on hold for the next 30 days,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,You could look at your credit file to see whether anything else has been opened,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I'm just going to try something to get this done for you,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,No interest will be added to your account for this one month. It'll just be frozen,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Anything else that I can help you with today,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Bear with me... I don't want to stress you out anymore,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,I'm going to take you out of collections so you will not get a default notice,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Your health comes first,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,Okay. And what's the reason for that?,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,"It's always good to give us a call though, if you have a change of circumstances","Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Fair Treatment,,It's entirely up to you how you go about it.,"Shows the customer is being treated respectfully and without unnecessary pressure, especially where affordability or vulnerability may be relevant.","Be calm, non-judgmental, transparent about consequences, and avoid pushing the customer into unaffordable or unsuitable actions.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,can I ask if you're okay,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,do you need any support,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,we support mental health,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,are you getting help,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,do you have a medical condition,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,we can pause the account,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,we can send a breathing space form,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,you don't have to explain,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,we understand vulnerability,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,difficult situation,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,i understand this is a challenging time for you,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,what is happening on your side,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,having somebody understand the situation that you are in,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
positive_language,Vulnerability Handling,,don't worry yourself,"Shows the agent has recognised or responded appropriately to signs of distress, health issues, bereavement, reduced understanding, or other vulnerability indicators.","Slow down, acknowledge the situation, reduce pressure, offer support or flexibility where available, and check what help or adjustments would make things easier.",config.yaml:agent_behaviour_phrases
